#Coverage (X)	Coverage
1.0	65.10717988161723
2.0	56.09136207069525
3.0	50.15884693843427
4.0	48.8211885095141
5.0	47.55375714811223
6.0	46.196033842758254
7.0	45.46366585292446
8.0	44.73129786309066
9.0	44.39019496371601
10.0	44.12600742400428
11.0	43.69795672674982
12.0	43.46721064776109
13.0	43.18295823161556
14.0	42.94886800655453
15.0	42.83851118616861
16.0	42.72481021971039
17.0	42.53753803966157
18.0	42.42383707320335
19.0	42.316824398889736
20.0	42.23990903922682
21.0	42.0593251513226
22.0	41.99244222987659
23.0	41.872052971273774
24.0	41.72491054409255
25.0	41.527605925826826
26.0	41.153061565729175
27.0	40.945724509246546
28.0	40.75176403705312
29.0	40.5644918570043
30.0	40.43741430625688
31.0	40.25348627228036
32.0	40.13309701367755
33.0	40.009363609002435
34.0	39.87559776611042
35.0	39.7217670467846
36.0	39.594689496037184
37.0	39.52111828244657
38.0	39.39404073169916
39.0	39.24021001237334
40.0	39.08637929304752
41.0	38.9392368658663
42.0	38.74193224760057
43.0	38.59813396649165
44.0	38.48108885396114
45.0	38.36069959535833
46.0	38.20352472996021
47.0	38.02294084205598
48.0	37.79888305521185
49.0	37.711935257332044
50.0	37.571481122295424
51.0	37.47784503227101
