#Coverage (X)	Coverage
1.0	10.16620405979333
2.0	7.016018459686322
3.0	5.1667056817041725
4.0	4.404240377219679
5.0	3.6852489716750796
6.0	2.96625756613048
7.0	2.782329532153952
8.0	2.3409022506102986
9.0	1.9563254522957436
10.0	1.6586964518610046
11.0	1.1637628331605328
12.0	0.8761662709426901
13.0	0.8761662709426901
14.0	0.8761662709426901
15.0	0.8761662709426901
16.0	0.8694779787980877
17.0	0.8661338327257937
18.0	0.8661338327257937
19.0	0.8594455405811914
20.0	0.8561013945088973
21.0	0.8561013945088973
22.0	0.849413102364295
23.0	0.849413102364295
24.0	0.8427248102196927
25.0	0.8326923720027963
26.0	0.8159716416412977
27.0	0.8126274955690036
28.0	0.7959067652075049
29.0	0.775841888773698
30.0	0.7156472594722914
31.0	0.7123031133999973
32.0	0.7123031133999973
33.0	0.7123031133999973
34.0	0.7123031133999973
35.0	0.7089589673277032
36.0	0.7089589673277032
37.0	0.7056148212554092
38.0	0.7056148212554092
39.0	0.7022706751831151
40.0	0.7022706751831151
41.0	0.7022706751831151
42.0	0.7022706751831151
43.0	0.6989265291108211
44.0	0.6989265291108211
45.0	0.6989265291108211
46.0	0.6989265291108211
47.0	0.6989265291108211
48.0	0.6989265291108211
49.0	0.6989265291108211
50.0	0.6989265291108211
51.0	0.6989265291108211
