#Coverage (X)	Coverage
1.0	99.9832792696385
2.0	99.9799351235662
3.0	99.97324683142159
4.0	99.9699026853493
5.0	99.966558539277
6.0	99.966558539277
7.0	99.94983780891549
8.0	99.91305220212018
9.0	99.90970805604789
10.0	99.90636390997558
11.0	99.90636390997558
12.0	99.88295488746948
13.0	99.87292244925258
14.0	99.87292244925258
15.0	99.87292244925258
16.0	99.87292244925258
17.0	99.86957830318028
18.0	99.86623415710798
19.0	99.84951342674648
20.0	99.83948098852957
21.0	99.82610440424038
22.0	99.82610440424038
23.0	99.77928635922817
24.0	99.74584489850517
25.0	99.64217637026385
26.0	99.53850784202254
27.0	99.45156004414272
28.0	99.39470956091363
29.0	99.30441761696152
30.0	99.2341905494432
31.0	99.12048958298499
32.0	98.95662642544227
33.0	98.77269839146574
34.0	98.61886767213991
35.0	98.50851085175401
36.0	98.30451794134368
37.0	98.13062234558406
38.0	97.86309065980002
39.0	97.6457211651005
40.0	97.38153362538876
41.0	97.21098217570143
42.0	96.9969568270742
43.0	96.83978196167608
44.0	96.66588636591646
45.0	96.46189345550614
46.0	96.21777079222821
47.0	95.97364812895027
48.0	95.75293448817844
49.0	95.52553255526202
50.0	95.3783901280808
51.0	95.21787111661037
