#GC Content (%)	Sample
1.0	4.81426794963698E-7
2.0	2.8885607697821884E-6
3.0	2.8885607697821884E-6
4.0	1.4442803848910942E-6
5.0	2.8885607697821884E-6
6.0	8.665682309346564E-6
7.0	1.925707179854792E-6
8.0	2.888560769782188E-6
9.0	1.4442803848910942E-6
10.0	2.888560769782188E-6
11.0	2.40713397481849E-6
12.0	7.22140192445547E-6
13.0	9.62853589927396E-7
14.0	4.81426794963698E-7
15.0	1.4442803848910942E-6
16.0	1.925707179854792E-6
17.0	7.22140192445547E-6
18.0	1.4442803848910942E-6
19.0	1.925707179854792E-6
20.0	1.925707179854792E-6
21.0	4.81426794963698E-7
22.0	2.40713397481849E-6
23.0	4.81426794963698E-6
24.0	7.221401924455471E-6
25.0	9.43596518128848E-5
26.0	6.162262975535335E-4
27.0	0.0019310028745993925
28.0	0.0017095465489160918
29.0	0.0031605669089366773
30.0	0.007650834625563089
31.0	0.012402035665059825
32.0	0.027504875649865996
33.0	0.06160481696393969
34.0	0.05373637742705301
35.0	0.06587410978167775
36.0	0.08219158957017735
37.0	0.10842020278659459
38.0	0.06209442801441778
39.0	0.05177311895719104
40.0	0.05324965493734471
41.0	0.060133576678530636
42.0	0.04790437323286277
43.0	0.03798457412263578
44.0	0.040519767624914604
45.0	0.05709625502910466
46.0	0.06688510605110153
47.0	0.030834904790629895
48.0	0.019900257996619417
49.0	0.009301165678698646
50.0	0.00825646953362742
51.0	0.015901527037650947
52.0	0.007339351489221577
53.0	0.0023589912953221204
54.0	8.227583925929598E-4
55.0	5.608622161327083E-4
56.0	6.836260488484513E-5
57.0	2.262705936329381E-5
58.0	2.40713397481849E-6
59.0	2.40713397481849E-6
60.0	3.369987564745886E-6
61.0	4.81426794963698E-7
62.0	0.0
63.0	9.62853589927396E-7
64.0	4.81426794963698E-7
65.0	0.0
66.0	0.0
67.0	4.332841154673282E-6
68.0	0.0
69.0	0.0
70.0	4.81426794963698E-7
71.0	0.0
72.0	9.62853589927396E-7
73.0	0.0
74.0	0.0
75.0	1.925707179854792E-6
76.0	0.0
77.0	0.0
78.0	9.62853589927396E-7
79.0	0.0
80.0	9.62853589927396E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.295694744600678E-6
