#Coverage (X)	Coverage
1.0	99.3177942012507
2.0	99.31445005517841
3.0	99.31445005517841
4.0	99.31445005517841
5.0	99.30441761696152
6.0	99.11380129084039
7.0	99.06698324582818
8.0	98.89643179614086
9.0	98.4616928067418
10.0	98.06373942413805
11.0	97.99351235661973
12.0	97.88649968230612
13.0	97.61896799652209
14.0	97.55877336722068
15.0	97.42166337825637
16.0	97.40159850182256
17.0	97.25111192856905
18.0	97.22101461391834
19.0	97.18757315319533
20.0	97.16416413068923
21.0	97.12069023174932
22.0	97.08056047888172
23.0	97.07387218673712
24.0	96.9635153663512
25.0	96.9434504899174
26.0	96.9434504899174
27.0	96.9434504899174
28.0	96.9434504899174
29.0	96.9401063438451
30.0	96.9401063438451
31.0	96.9401063438451
32.0	96.9401063438451
33.0	96.9401063438451
34.0	96.9367621977728
35.0	96.86987927632678
36.0	96.80968464702538
37.0	96.77624318630238
38.0	96.73276928736247
39.0	96.68929538842256
40.0	96.57559442196435
41.0	96.41841955656623
42.0	96.26124469116812
43.0	96.1776410393606
44.0	96.06728421897468
45.0	96.03384275825168
46.0	96.02715446610708
47.0	96.01712202789018
48.0	96.00040129752867
49.0	95.96695983680567
50.0	95.95692739858877
51.0	95.88001203892586
