#Coverage (X)	Coverage
1.0	100.0
2.0	99.94983780891549
3.0	99.899675617831
4.0	99.899675617831
5.0	99.899675617831
6.0	99.899675617831
7.0	99.899675617831
8.0	99.899675617831
9.0	99.899675617831
10.0	99.899675617831
11.0	99.899675617831
12.0	99.899675617831
13.0	99.899675617831
14.0	99.899675617831
15.0	99.899675617831
16.0	99.899675617831
17.0	99.899675617831
18.0	99.899675617831
19.0	99.899675617831
20.0	99.899675617831
21.0	99.899675617831
22.0	99.899675617831
23.0	99.899675617831
24.0	99.899675617831
25.0	99.89633147175869
26.0	99.86289001103569
27.0	99.82610440424038
28.0	99.76590977493898
29.0	99.72912416814367
30.0	99.71240343778216
31.0	99.68230612313145
32.0	99.65889710062535
33.0	99.57863759489014
34.0	99.51509881951644
35.0	99.45490419021503
36.0	99.3412032237568
37.0	99.2876968866
38.0	99.220813965154
39.0	99.19740494264789
40.0	99.16061933585259
41.0	99.15058689763569
42.0	99.14389860549109
43.0	99.13386616727419
44.0	99.08704812226198
45.0	99.02685349296057
46.0	98.90312008828546
47.0	98.79945156004415
48.0	98.70581547001973
49.0	98.62555596428452
50.0	98.56870548105542
51.0	98.4115306156573
