#Coverage (X)	Coverage
1.0	99.85954586496338
2.0	99.83948098852957
3.0	99.79600708958968
4.0	99.65555295455306
5.0	99.57529344881785
6.0	99.33785907768451
7.0	99.2308464033709
8.0	99.19071665050329
9.0	99.04023007724977
10.0	99.01347690867136
11.0	98.97000300973147
12.0	98.95662642544227
13.0	98.95662642544227
14.0	98.95662642544227
15.0	98.95662642544227
16.0	98.95662642544227
17.0	98.94659398722536
18.0	98.94659398722536
19.0	98.93990569508077
20.0	98.93990569508077
21.0	98.93990569508077
22.0	98.93990569508077
23.0	98.93656154900846
24.0	98.93321740293617
25.0	98.93321740293617
26.0	98.93321740293617
27.0	98.92318496471925
28.0	98.89643179614086
29.0	98.89308765006855
30.0	98.88974350399626
31.0	98.88974350399626
32.0	98.88974350399626
33.0	98.88974350399626
34.0	98.88974350399626
35.0	98.88974350399626
36.0	98.88639935792395
37.0	98.88639935792395
38.0	98.88639935792395
39.0	98.87971106577935
40.0	98.87971106577935
41.0	98.87302277363476
42.0	98.86967862756245
43.0	98.86299033541785
44.0	98.85295789720095
45.0	98.84961375112864
46.0	98.83623716683945
47.0	98.83623716683945
48.0	98.83289302076714
49.0	98.81951643647794
50.0	98.80613985218875
51.0	98.78607497575494
