#Coverage (X)	Coverage
1.0	99.77594221315587
2.0	99.77594221315587
3.0	99.77594221315587
4.0	99.77594221315587
5.0	99.77594221315587
6.0	99.77594221315587
7.0	99.77594221315587
8.0	99.71574758385447
9.0	99.71240343778216
10.0	99.45156004414272
11.0	99.38467712269671
12.0	99.2743203023108
13.0	98.89977594221315
14.0	98.73256863859814
15.0	97.7226365247634
16.0	96.82306123131458
17.0	96.1508878707822
18.0	95.3951108584423
19.0	94.37514630639066
20.0	94.04741999130522
21.0	93.43544126007424
22.0	92.73651473096345
23.0	91.79346553857472
24.0	89.87058154700198
25.0	88.24867070193626
26.0	87.0414339698358
27.0	84.51660368524897
28.0	83.1521920877504
29.0	80.74775106176638
30.0	79.23619703708658
31.0	77.63435106845468
32.0	75.5442597732669
33.0	73.32374678125942
34.0	70.2203792261646
35.0	67.06016118784069
36.0	64.53867504932616
37.0	61.53897602247267
38.0	59.472293749791
39.0	55.02123532755912
40.0	52.16533458181454
41.0	47.978463699294394
42.0	44.74133030130757
43.0	41.156405711801504
44.0	37.655084774102946
45.0	35.344279838143336
46.0	32.317827642711435
47.0	29.896665886365923
48.0	27.753068254021343
49.0	25.24161455372372
50.0	22.870614988462705
51.0	20.5497776142862
