#Coverage (X)	Coverage
1.0	99.77928635922817
2.0	99.73246831421596
3.0	99.72912416814367
4.0	99.72912416814367
5.0	99.72578002207136
6.0	99.72243587599907
7.0	99.71909172992676
8.0	99.71909172992676
9.0	99.68565026920376
10.0	99.65555295455306
11.0	99.58867003310705
12.0	99.51509881951644
13.0	99.40474199913052
14.0	99.17734006621409
15.0	98.90646423435776
16.0	98.76935424539344
17.0	98.4817576831756
18.0	98.25101160418687
19.0	98.01692137912585
20.0	97.88984382837842
21.0	97.78283115406481
22.0	97.7025716483296
23.0	97.62900043473898
24.0	97.57883824365449
25.0	97.50861117613617
26.0	97.32133899608735
27.0	97.12737852389392
28.0	96.97689195064041
29.0	96.82974952345918
30.0	96.67926295020567
31.0	96.55552954553055
32.0	96.42176370263853
33.0	96.34819248904792
34.0	96.26124469116812
35.0	96.1876734775775
36.0	96.03049861217939
37.0	95.95358325251647
38.0	95.88670033107046
39.0	95.86997960070896
40.0	95.84991472427515
41.0	95.84991472427515
42.0	95.82316155569676
43.0	95.78972009497375
44.0	95.78972009497375
45.0	95.73955790388925
46.0	95.69942815102164
47.0	95.65261010600943
48.0	95.56900645420193
49.0	95.54894157776812
50.0	95.50546767882821
51.0	95.50546767882821
