#Read position (bp)	Clipping profile
0.0	11.613085558128896
1.0	0.03568614395646769
2.0	0.03089605751935794
3.0	0.028501014300803058
4.0	0.02802200565709208
5.0	0.02706398836967013
6.0	0.02706398836967013
7.0	0.026584979725959156
8.0	0.026345475404103667
9.0	0.02610597108224818
10.0	0.02586646676039269
11.0	0.02586646676039269
12.0	0.025626962438537203
13.0	0.024668945151115253
14.0	0.02395043218554879
15.0	0.02299241489812684
16.0	0.02275291057627135
17.0	0.022513406254415863
18.0	0.022273901932560375
19.0	0.0217948932888494
20.0	0.021315884645138422
21.0	0.02035786735771647
22.0	0.020118363035860985
23.0	0.020118363035860985
24.0	0.019639354392150008
25.0	0.019639354392150008
26.0	0.019160345748439032
27.0	0.019160345748439032
28.0	0.018681337104728055
29.0	0.018441832782872567
30.0	0.038560195818733545
31.0	0.1937589963810897
32.0	0.10586091026012563
33.0	0.3635675605766306
34.0	4.873194436793612
35.0	0.14945069683782444
36.0	0.2818965868239092
37.0	0.9616098522497838
38.0	0.35614292659911045
39.0	0.08598205154612015
40.0	0.177712206816772
41.0	0.3673996297263184
42.0	0.044308299543265255
43.0	0.8717957315539759
44.0	1.3163157529177614
45.0	41.17175094424579
46.0	22.682735809967692
47.0	4.406400513497266
48.0	0.10298685839785979
49.0	0.07161179223479087
50.0	0.042392264968421356
51.0	0.0787969218904555
52.0	0.6035508910758295
53.0	0.05412797673934026
54.0	0.16142591293059882
55.0	0.06514517554469271
56.0	0.02921952726636952
57.0	0.009340668552364028
58.0	0.00910116423050854
59.0	0.07256980952221283
60.0	0.07664138299375613
61.0	0.029938040231935987
62.0	0.03760217853131159
63.0	0.19136395316253482
64.0	0.3690761599793068
65.0	0.008143146943086588
66.0	0.04047623039357745
67.0	0.008143146943086588
68.0	0.425599179937202
69.0	0.3640465692203416
70.0	0.036644161243889646
71.0	0.029698535910080495
72.0	0.06298963664799331
73.0	0.0079036426212311
74.0	0.03616515260017867
75.0	0.13436192456092869
76.0	0.05484648970490672
77.0	0.006706121011953661
78.0	0.033530605059768306
79.0	0.06921674901623599
80.0	0.30464949740018055
81.0	0.7443794323268563
82.0	0.005029590758965246
83.0	0.5963657614201648
84.0	0.22848712305013544
85.0	0.032333083450490865
86.0	0.00455058211525427
87.0	0.11376455288135674
88.0	0.05867855885459453
89.0	0.03137506616306891
90.0	0.00455058211525427
91.0	0.0043110777933987815
92.0	0.0043110777933987815
93.0	0.00455058211525427
94.0	0.00455058211525427
95.0	1.3977472223486271
96.0	0.00455058211525427
97.0	0.004790086437109758
98.0	0.004790086437109758
99.0	0.008382651264942077
100.0	1.1797982894601333
101.0	0.06227112368242685
102.0	0.0052690950808207335
103.0	0.004790086437109758
104.0	0.005029590758965246
105.0	0.005508599402676222
106.0	0.0052690950808207335
107.0	0.00455058211525427
108.0	0.0043110777933987815
109.0	0.003592564827832318
110.0	0.003832069149687806
111.0	0.003832069149687806
112.0	0.030656553197502448
113.0	0.00455058211525427
114.0	0.030656553197502448
115.0	0.15615681784977808
116.0	0.005508599402676222
117.0	0.005508599402676222
