#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	7.954373712385755E-6
13.0	0.0
14.0	2.3863121137157263E-5
15.0	1.590874742477151E-5
16.0	7.954373712385755E-6
17.0	1.1931560568578632E-4
18.0	1.9090496909725813E-4
19.0	7.15893634114718E-5
20.0	0.0030703882529809017
21.0	2.9431182735827294E-4
22.0	9.624792191986764E-4
23.0	0.010921355107105643
24.0	0.0016465553584638511
25.0	0.015503074365439838
26.0	0.008495271124827987
27.0	0.003014707636994202
28.0	0.03531741928299276
29.0	0.013084944756874568
30.0	0.009266845374929406
31.0	0.06513836633072695
32.0	0.020100702371198802
33.0	0.01212246553767589
34.0	0.07374499868752835
35.0	0.02252678635347646
36.0	0.034148126347272045
37.0	0.08212095420667054
38.0	0.02226429202096773
39.0	0.09144348019758665
40.0	0.0345060731643294
41.0	0.01442923391426776
42.0	0.10075805181479036
43.0	0.0301550307436544
44.0	0.010165689604428995
45.0	0.07275070197348013
46.0	0.02098363785327362
47.0	0.013291758473396597
48.0	0.051106851102078486
49.0	0.01525648878035588
50.0	0.0283096160423809
51.0	0.021969980193609448
52.0	0.008423681761416515
53.0	0.021039318469260323
54.0	0.0025692627091005987
55.0	0.005631696588369114
56.0	0.012758815434666752
57.0	0.0011215666934463915
58.0	0.002314722750304254
59.0	0.002036319670370753
60.0	6.124867758537031E-4
61.0	0.0011454298145835487
62.0	0.001232927925419792
63.0	7.874829975261898E-4
64.0	8.670267346500472E-4
65.0	4.7726242274314526E-5
66.0	3.9771868561928776E-5
67.0	1.590874742477151E-5
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	7.954373712385755E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.9771868561928776E-5
