#Coverage (X)	Coverage
1.0	99.89633147175869
2.0	99.66224124669766
3.0	99.49168979701034
4.0	99.46828077450424
5.0	99.36795639233522
6.0	99.220813965154
7.0	98.98337959402066
8.0	98.97669130187606
9.0	98.97000300973147
10.0	98.96331471758687
11.0	98.95662642544227
12.0	98.88639935792395
13.0	98.73591278467043
14.0	98.55532889676621
15.0	98.27776477276528
16.0	98.27776477276528
17.0	98.18412868274086
18.0	98.16406380630706
19.0	98.08714844664415
20.0	98.03029796341504
21.0	97.96007089589673
22.0	97.8162726147878
23.0	97.60559141223288
24.0	97.15413169247233
25.0	96.66923051198876
26.0	96.1742968932883
27.0	95.47537036417751
28.0	94.90686553188644
29.0	94.36845801424606
30.0	93.60933685583386
31.0	92.90372203457846
32.0	92.57599571949302
33.0	91.85700431394844
34.0	90.91395512155971
35.0	89.78697789519447
36.0	88.86733772531184
37.0	88.13831388155035
38.0	87.01133665518509
39.0	86.02146941778417
40.0	84.25576029160953
41.0	82.96491990770157
42.0	81.35972979299736
43.0	80.04882453265559
44.0	78.86499682306123
45.0	77.70457813597298
46.0	76.57425676353543
47.0	75.21318931210915
48.0	73.58459017489884
49.0	72.37735344279838
50.0	70.60830017055144
51.0	69.4612580677524
