#Read position (bp)	Clipping profile
0.0	10.61292518603723
1.0	8.938296673630838
2.0	7.284501983614638
3.0	5.762165778539402
4.0	4.260956829972534
5.0	3.057583511350032
6.0	2.022641376558135
7.0	1.09949764078969
8.0	1.0214441653559942
9.0	0.9386957440315501
10.0	0.8371675391441115
11.0	0.7846428319913614
12.0	0.7350524660203291
13.0	0.6904504800582173
14.0	0.6423272846780441
15.0	0.5883354069344351
16.0	0.5029460785464447
17.0	0.4533557125754126
18.0	0.383518392450527
19.0	0.28668513345383695
20.0	0.20012206859315948
21.0	0.16138876499448343
22.0	0.11854738374140238
23.0	0.09067114251508251
24.0	0.06837014953402662
25.0	0.05223127303457828
26.0	0.04108077654405033
27.0	0.028169675344491656
28.0	0.0123242329632151
29.0	0.002640907063546093
30.0	0.0032277752998896687
31.0	0.006455550599779337
32.0	0.009683325899669006
33.0	0.017606047090307286
34.0	0.024941900044601988
35.0	0.03286462123524026
36.0	0.035798962416958145
37.0	0.03726613300781709
38.0	0.030223714171694168
39.0	0.03374492358975563
40.0	0.032571187117068474
41.0	0.02875654358083523
42.0	0.0343317918260992
43.0	0.031690884762553106
44.0	0.03521209418061457
45.0	0.03462522594427099
46.0	0.031690884762553106
47.0	0.0343317918260992
48.0	0.031104016526209536
49.0	0.03462522594427099
50.0	0.03286462123524026
51.0	0.031690884762553106
52.0	0.02758280710814808
53.0	0.03374492358975563
54.0	0.0343317918260992
55.0	0.03726613300781709
56.0	0.034038357707927416
57.0	0.0343317918260992
58.0	0.03315805535341205
59.0	0.02875654358083523
60.0	0.030517148289865962
61.0	0.029343411817178807
62.0	0.028463109462663443
63.0	0.02582220239911735
64.0	0.029636845935350594
65.0	0.032571187117068474
66.0	0.03345148947158384
67.0	0.03374492358975563
68.0	0.031690884762553106
69.0	0.029343411817178807
70.0	0.02904997769900702
71.0	0.035798962416958145
72.0	0.035798962416958145
73.0	0.036385830653301726
74.0	0.03521209418061457
75.0	0.036385830653301726
76.0	0.035798962416958145
77.0	0.036385830653301726
78.0	0.03609239653512993
79.0	0.03609239653512993
80.0	0.03521209418061457
81.0	0.03667926477147351
82.0	0.038439869480504235
83.0	0.03667926477147351
84.0	0.03726613300781709
85.0	0.03726613300781709
86.0	0.03609239653512993
87.0	0.03374492358975563
88.0	0.0369726988896453
89.0	0.03726613300781709
90.0	0.03961360595319139
91.0	0.038439869480504235
92.0	0.03785300124416066
93.0	0.035798962416958145
94.0	0.0393201718350196
95.0	0.03990704007136318
96.0	0.040200474189534964
97.0	0.04108077654405033
98.0	0.04196107889856569
99.0	0.044308551843939996
100.0	0.04284138125308106
101.0	0.046656024789314306
102.0	0.04724289302565788
103.0	0.046656024789314306
104.0	0.045188854198455364
105.0	0.047829761262001454
106.0	0.04636259067114251
107.0	0.048416629498345035
108.0	0.05193783891640649
109.0	0.05545904833446795
110.0	0.05927369187070119
111.0	0.0566327848071551
112.0	0.05839338951618583
113.0	0.0589802577525294
114.0	0.06220803305241907
115.0	0.061914598934247285
116.0	0.06132773069790371
117.0	0.06484894011596516
118.0	0.06572924247048052
119.0	0.06690297894316768
120.0	0.06426207187962159
121.0	0.06338176952510621
122.0	0.0762928707246649
123.0	0.09301861546045681
124.0	0.1035822437146412
125.0	0.11238526725979484
126.0	0.13497969435902252
127.0	0.16050846263996807
128.0	0.18867813798445973
129.0	0.23093265100119723
130.0	0.26761191577267074
131.0	0.31426794056198504
132.0	0.3747153689053734
133.0	0.4128618042677058
134.0	0.4419117819667129
135.0	0.4782976126200145
136.0	0.5231930327002982
137.0	0.5472546303903847
138.0	0.5736637010258456
139.0	0.6041808493157117
140.0	0.6408601140871851
141.0	0.6845817976947816
142.0	0.7376933730838752
143.0	0.7896312120002817
144.0	1.6696401323974743
145.0	2.6951923754078733
146.0	3.8407591727505337
147.0	5.118664757388671
148.0	6.471102608042442
149.0	7.740498603253597
150.0	8.76164933449142
