#Coverage (X)	Coverage
1.0	99.87961074139719
2.0	99.87961074139719
3.0	99.86289001103569
4.0	99.84616928067418
5.0	99.81941611209578
6.0	99.75253319064977
7.0	99.71574758385447
8.0	99.57863759489014
9.0	99.30107347088921
10.0	98.78273082968263
11.0	98.61886767213991
12.0	98.57539377320002
13.0	98.4616928067418
14.0	98.29448550312678
15.0	98.25435575025917
16.0	98.22760258168077
17.0	98.15737551416245
18.0	98.08380430057184
19.0	97.92328528910143
20.0	97.6858509179681
21.0	97.50192288399157
22.0	97.22770290606293
23.0	96.8866000066883
24.0	96.61238002875966
25.0	96.33147175868642
26.0	96.12413470220379
27.0	95.89338862321506
28.0	95.56900645420191
29.0	95.28809818412869
30.0	94.87676821723574
31.0	94.59920409323479
32.0	94.25810119386014
33.0	93.9370631709193
34.0	93.75982342908738
35.0	93.56251881082166
36.0	93.31839614754372
37.0	93.2013510350132
38.0	93.0943383606996
39.0	92.90706618065077
40.0	92.75323546132495
41.0	92.56261913520382
42.0	92.4121325619503
43.0	92.19141892117848
44.0	92.03424405578035
45.0	91.82690699929773
46.0	91.65635554961041
47.0	91.5727518978029
48.0	91.44567434705547
49.0	91.35872654917567
50.0	91.27846704344046
51.0	91.17814266127144
