#Read position (bp)	Clipping profile
0.0	34.89604025956827
1.0	0.7350019864918553
2.0	0.7283803469739107
3.0	0.721758707455966
4.0	0.7018937889021322
5.0	0.6820288703482983
6.0	0.6422990332406304
7.0	0.6290557542047411
8.0	0.5893259170970732
9.0	0.5760826380611839
10.0	0.5495960799894054
11.0	0.5363528009535161
12.0	0.5297311614355714
13.0	0.5032446033637928
14.0	0.49000132432790355
15.0	0.47675804529201427
16.0	0.45689312673818033
17.0	0.4502714872202357
18.0	0.4502714872202357
19.0	0.4436498477022911
20.0	0.43702820818434646
21.0	0.42378492914845717
22.0	0.42378492914845717
23.0	0.40392001059462324
24.0	0.3840550920407893
25.0	0.3708118130049
26.0	0.3575685339690107
27.0	0.3377036154151768
28.0	0.3244603363792875
29.0	0.3045954178254536
30.0	2.416898424049795
31.0	2.284465633690902
32.0	2.522844656336909
33.0	3.549198781618329
34.0	2.4036551450139054
35.0	0.9667593696199178
36.0	0.7548669050456893
37.0	2.913521387895643
38.0	0.19202754602039465
39.0	0.18540590650245
40.0	1.450139054429877
41.0	1.575950205270825
42.0	0.15891934843067143
43.0	0.15891934843067143
44.0	1.5627069262349358
45.0	1.0395974043173088
46.0	0.15891934843067143
47.0	1.5097338100913786
48.0	0.11918951132300357
49.0	0.7747318235995232
50.0	1.1852734737120911
51.0	0.21189246457422858
52.0	0.092702953251225
53.0	0.6422990332406304
54.0	0.07283803469739107
55.0	0.07283803469739107
56.0	0.07945967421533572
57.0	1.1852734737120911
58.0	0.07283803469739107
59.0	0.6754072308303536
60.0	0.05959475566150178
61.0	0.648920672758575
62.0	0.052973116143557146
63.0	0.0463514766256125
64.0	0.0463514766256125
65.0	0.0463514766256125
66.0	0.03972983710766786
67.0	0.0463514766256125
68.0	0.5827042775791286
69.0	0.03972983710766786
70.0	0.033108197589723214
71.0	0.026486558071778573
72.0	0.5495960799894054
73.0	0.5562177195073501
74.0	0.5495960799894054
75.0	0.0463514766256125
76.0	0.5429744404714607
77.0	0.0463514766256125
78.0	0.5363528009535161
79.0	0.06621639517944643
80.0	0.06621639517944643
81.0	0.08608131373328036
82.0	0.10594623228711429
83.0	0.11256787180505892
84.0	0.11256787180505892
85.0	0.11918951132300357
86.0	0.11918951132300357
87.0	0.11918951132300357
88.0	0.11918951132300357
89.0	0.1258111508409482
90.0	0.1258111508409482
91.0	0.13905442987683753
92.0	0.13905442987683753
93.0	0.14567606939478214
94.0	0.1522977089127268
95.0	0.15891934843067143
96.0	0.15891934843067143
97.0	0.16554098794861608
98.0	0.17216262746656072
99.0	0.18540590650245
100.0	0.18540590650245
101.0	0.17216262746656072
102.0	0.17878426698450536
103.0	0.17216262746656072
104.0	0.17878426698450536
105.0	0.16554098794861608
106.0	0.16554098794861608
107.0	0.17216262746656072
108.0	0.17878426698450536
109.0	0.18540590650245
110.0	0.20527082505628394
111.0	0.20527082505628394
112.0	0.21189246457422858
113.0	0.22513574361011784
114.0	0.22513574361011784
115.0	0.2317573831280625
116.0	0.2317573831280625
117.0	0.23837902264600713
118.0	0.24500066216395178
119.0	0.2516223016818964
120.0	0.25824394119984106
121.0	0.2516223016818964
122.0	0.27148722023573035
123.0	0.27148722023573035
124.0	0.2648655807177857
125.0	0.2516223016818964
126.0	0.24500066216395178
127.0	0.24500066216395178
128.0	0.2516223016818964
129.0	0.25824394119984106
130.0	0.2516223016818964
131.0	0.2516223016818964
132.0	0.2516223016818964
133.0	0.2516223016818964
134.0	0.25824394119984106
135.0	0.27148722023573035
136.0	0.27148722023573035
137.0	0.27148722023573035
138.0	0.27810885975367505
139.0	0.2847304992716197
140.0	0.2847304992716197
141.0	0.29797377830750893
142.0	0.29797377830750893
143.0	0.29797377830750893
144.0	0.27810885975367505
145.0	0.27810885975367505
146.0	0.2847304992716197
147.0	0.2847304992716197
148.0	0.2913521387895643
149.0	0.24500066216395178
150.0	0.18540590650245
