#Read position (bp)	Clipping profile
0.0	10.908418020324879
1.0	9.340841802032488
2.0	7.702848683684084
3.0	6.064655517324158
4.0	4.19920780987437
5.0	2.9056973673681683
6.0	1.9116587981115467
7.0	1.0998639673521646
8.0	0.9514283428022725
9.0	0.833400016003841
10.0	0.7287749059774346
11.0	0.6697607425782187
12.0	0.6155477314555493
13.0	0.5795390893814516
14.0	0.5353284788349203
15.0	0.49051772425382095
16.0	0.427302552612627
17.0	0.3682883892134112
18.0	0.30707369768744497
19.0	0.24025766183884134
20.0	0.174841962070897
21.0	0.1378330799391854
22.0	0.10642554213011124
23.0	0.08261982875890214
24.0	0.056013443226374325
25.0	0.03860926622389373
26.0	0.026206289509482276
27.0	0.017404177002480595
28.0	0.009802352564615507
29.0	6.001440345682964E-4
30.0	0.0022005281267504203
31.0	0.004801152276546371
32.0	0.008802112507001681
33.0	0.016403936944866766
34.0	0.023605665359686324
35.0	0.027606625590141633
36.0	0.03000720172841482
37.0	0.03140753780907418
38.0	0.031207489797551412
39.0	0.0284068176362327
40.0	0.02680643354405057
41.0	0.027206529567096103
42.0	0.029807153716892052
43.0	0.033408017924301835
44.0	0.031607585820596945
45.0	0.036808834120188844
46.0	0.034408257981915664
47.0	0.03260782587821077
48.0	0.03460830599343842
49.0	0.0336080659358246
50.0	0.030407297751460352
51.0	0.0330079219012563
52.0	0.03740897815475714
53.0	0.0376090261662799
54.0	0.03800912218932544
55.0	0.03560854605105225
56.0	0.03480835400496119
57.0	0.03100744178602865
58.0	0.03100744178602865
59.0	0.030607345762983112
60.0	0.031207489797551412
61.0	0.034408257981915664
62.0	0.032407777866688005
63.0	0.033207969912779065
64.0	0.03140753780907418
65.0	0.030607345762983112
66.0	0.03180763383211971
67.0	0.0336080659358246
68.0	0.02960710570536929
69.0	0.030607345762983112
70.0	0.030607345762983112
71.0	0.03280787388973353
72.0	0.031607585820596945
73.0	0.03400816195887013
74.0	0.03140753780907418
75.0	0.034208209970392894
76.0	0.03540849803952949
77.0	0.0336080659358246
78.0	0.035008402016483954
79.0	0.03640873809714332
80.0	0.03460830599343842
81.0	0.0336080659358246
82.0	0.03380811394734736
83.0	0.033207969912779065
84.0	0.03260782587821077
85.0	0.03460830599343842
86.0	0.037008882131711614
87.0	0.036808834120188844
88.0	0.039009362246939266
89.0	0.03860926622389373
90.0	0.03800912218932544
91.0	0.036208690085620554
92.0	0.034408257981915664
93.0	0.03560854605105225
94.0	0.03860926622389373
95.0	0.041609986396735216
96.0	0.041609986396735216
97.0	0.04301032247739457
98.0	0.041009842362166926
99.0	0.041609986396735216
100.0	0.042610226454349046
101.0	0.04120989037368968
102.0	0.043210370488917335
103.0	0.04761142674241818
104.0	0.046211090661758825
105.0	0.047011282707849884
106.0	0.04761142674241818
107.0	0.045010802592622225
108.0	0.04541089861566776
109.0	0.04821157077698648
110.0	0.0492118108346003
111.0	0.046011042650236054
112.0	0.05241257901896455
113.0	0.057013683283988155
114.0	0.05281267504201008
115.0	0.05181243498439625
116.0	0.05461310714571497
117.0	0.058814115387693044
118.0	0.060414499479875164
119.0	0.05921421141073858
120.0	0.061614787549011764
121.0	0.06341521965271665
122.0	0.06941665999839962
123.0	0.08061934864367448
124.0	0.09022165319676723
125.0	0.10762583019924782
126.0	0.13003120748979755
127.0	0.15343682483796112
128.0	0.17984316235896616
129.0	0.21625190045610945
130.0	0.26326318316395936
131.0	0.3092742258141954
132.0	0.36848843722493396
133.0	0.4032967912298952
134.0	0.44070576938465233
135.0	0.47631431543570457
136.0	0.5133231975674162
137.0	0.5437304953188765
138.0	0.5673361606785629
139.0	0.6025446107065696
140.0	0.6517564215411699
141.0	0.7071697207329759
142.0	0.8143954549091783
143.0	0.9286228694886773
144.0	1.7276146275106024
145.0	2.685244458670081
146.0	3.8089141393934547
147.0	5.190845802992718
148.0	6.547571417140113
149.0	7.772465391694007
150.0	8.733095943026328
