#Coverage (X)	Coverage
1.0	99.9297729324817
2.0	99.84616928067418
3.0	99.82610440424038
4.0	99.82276025816807
5.0	99.82276025816807
6.0	99.82276025816807
7.0	99.82276025816807
8.0	99.82276025816807
9.0	99.81941611209578
10.0	99.70237099956526
11.0	99.54519613416714
12.0	99.3111059091061
13.0	99.2308464033709
14.0	99.1940607965756
15.0	99.16061933585259
16.0	99.11380129084039
17.0	99.05695080761127
18.0	98.98003544794837
19.0	98.97000300973147
20.0	98.90980838043006
21.0	98.86633448149016
22.0	98.84626960505635
23.0	98.83289302076714
24.0	98.74594522288733
25.0	98.70247132394744
26.0	98.64227669464603
27.0	98.60883523392302
28.0	98.5452964585493
29.0	98.37474500886199
30.0	98.33127110992208
31.0	98.26104404240377
32.0	98.24432331204227
33.0	98.17075209845166
34.0	98.11055746915025
35.0	98.08046015449955
36.0	98.04701869377655
37.0	97.98682406447513
38.0	97.92997358124603
39.0	97.87981139016152
40.0	97.82964919907701
41.0	97.78283115406481
42.0	97.7126040865465
43.0	97.6457211651005
44.0	97.58552653579909
45.0	97.52198776042538
46.0	97.44507240076247
47.0	97.40828679396716
48.0	97.36146874895495
49.0	97.31130655787045
50.0	97.27786509714744
51.0	97.26783265893054
