#Read position (bp)	Clipping profile
0.0	18.906346909241265
1.0	1.8503204465577838
2.0	1.6952656605333885
3.0	1.5918958031837915
4.0	1.4678519743642755
5.0	1.416167045689477
6.0	1.4058300599545173
7.0	1.3644821170146786
8.0	1.3541451312797188
9.0	1.3334711598097995
10.0	1.3334711598097995
11.0	1.3024602026049203
12.0	1.3024602026049203
13.0	1.2404382881951623
14.0	1.147405416580525
15.0	1.0647095307008476
16.0	0.9199917304114119
17.0	0.8269588587967749
18.0	0.7442629729170974
19.0	0.7132520157122183
20.0	0.5892081868927022
21.0	0.5478602439528633
22.0	0.5168492867479842
23.0	0.4858383295431052
24.0	0.4548273723382261
25.0	0.4031424436634278
26.0	0.3721314864585487
27.0	0.361794500723589
28.0	0.3514575149886293
29.0	0.3514575149886293
30.0	2.460202604920405
31.0	1.6952656605333885
32.0	1.6539177175935498
33.0	6.326235269795327
34.0	0.8993177589414927
35.0	1.5505478602439529
36.0	3.493901178416374
37.0	0.8372958445317346
38.0	0.8166218730618152
39.0	0.7959479015918958
40.0	0.16539177175935496
41.0	1.3748191027496381
42.0	0.08269588587967748
43.0	0.6615670870374198
44.0	1.2301013024602026
45.0	3.483564192681414
46.0	0.6305561298325408
47.0	0.06202191440975812
48.0	0.5995451726276617
49.0	1.1060574736406865
50.0	0.5685342154227827
51.0	0.05168492867479843
52.0	0.558197229687823
53.0	0.06202191440975812
54.0	0.06202191440975812
55.0	0.0723589001447178
56.0	0.10336985734959686
57.0	0.13438081455447592
58.0	0.13438081455447592
59.0	0.1550547860243953
60.0	0.1550547860243953
61.0	0.1550547860243953
62.0	0.1447178002894356
63.0	0.1550547860243953
64.0	0.1550547860243953
65.0	0.1550547860243953
66.0	0.1550547860243953
67.0	0.19640272896423402
68.0	0.21707670043415342
69.0	0.2584246433739921
70.0	0.26876162910895185
71.0	0.29977258631383086
72.0	0.29977258631383086
73.0	0.3101095720487906
74.0	0.32044655778375025
75.0	0.3307835435187099
76.0	0.3514575149886293
77.0	0.3514575149886293
78.0	0.361794500723589
79.0	0.41347942939838744
80.0	0.4651643580731859
81.0	0.5375232582179037
82.0	0.5478602439528633
83.0	0.558197229687823
84.0	0.6098821583626215
85.0	0.6408931155675005
86.0	0.6719040727723796
87.0	0.6822410585073393
88.0	0.7029150299772586
89.0	0.7442629729170974
90.0	0.7649369443870168
91.0	0.7752739301219764
92.0	0.8269588587967749
93.0	0.8269588587967749
94.0	0.8786437874715733
95.0	0.9406657018813315
96.0	0.9923506305561299
97.0	1.0957204879057265
98.0	1.219764316725243
99.0	1.219764316725243
