#Read position (bp)	Clipping profile
0.0	10.98310465016661
1.0	9.299431410831602
2.0	7.609896427492481
3.0	6.092606537197274
4.0	4.520757337325331
5.0	3.1860833179274675
6.0	1.9330228112022438
7.0	0.8661854024538161
8.0	0.7980989913291279
9.0	0.7101728312674443
10.0	0.6533590047660488
11.0	0.6159340238167168
12.0	0.5744509124029994
13.0	0.5406331585331211
14.0	0.49328830311529154
15.0	0.44008170369334965
16.0	0.3715443891837296
17.0	0.32600314730562685
18.0	0.27730558173300207
19.0	0.20831736383845034
20.0	0.14924902041239624
21.0	0.11588216992744964
22.0	0.07845718897811765
23.0	0.06222466712057607
24.0	0.04599214526303449
25.0	0.03156323694521975
26.0	0.021643362476722112
27.0	0.01217439139315619
28.0	0.005861744004112239
29.0	0.011723488008224477
30.0	0.05951924681098581
31.0	0.08972977360141043
32.0	0.11452945977265452
33.0	0.1348201120945815
34.0	0.140230952713762
35.0	0.08161351267263964
36.0	0.06493008743016634
37.0	0.03201414033015146
38.0	0.026152396326039218
39.0	0.028857816635629484
40.0	0.025250589556175797
41.0	0.02705420309590264
42.0	0.026152396326039218
43.0	0.02660329971097093
44.0	0.02479968617124409
45.0	0.01893794216713185
46.0	0.023446976016448955
47.0	0.021192459091790402
48.0	0.022996072631517244
49.0	0.02074155570685869
50.0	0.01983974893699527
51.0	0.025250589556175797
52.0	0.022996072631517244
53.0	0.02479968617124409
54.0	0.023446976016448955
55.0	0.021643362476722112
56.0	0.027956009865766063
57.0	0.027956009865766063
58.0	0.026152396326039218
59.0	0.023446976016448955
60.0	0.023897879401380665
61.0	0.02434878278631238
62.0	0.023897879401380665
63.0	0.028406913250697774
64.0	0.030661430175356323
65.0	0.03246504371508317
66.0	0.028406913250697774
67.0	0.026152396326039218
68.0	0.02660329971097093
69.0	0.02660329971097093
70.0	0.02479968617124409
71.0	0.023897879401380665
72.0	0.021192459091790402
73.0	0.022996072631517244
74.0	0.025701492941107507
75.0	0.025701492941107507
76.0	0.025250589556175797
77.0	0.023897879401380665
78.0	0.02479968617124409
79.0	0.027505106480834353
80.0	0.025701492941107507
81.0	0.022545169246585534
82.0	0.025701492941107507
83.0	0.026152396326039218
84.0	0.028857816635629484
85.0	0.029308720020561195
86.0	0.028857816635629484
87.0	0.02660329971097093
88.0	0.02660329971097093
89.0	0.027505106480834353
90.0	0.028857816635629484
91.0	0.028857816635629484
92.0	0.030661430175356323
93.0	0.03336685048494659
94.0	0.03336685048494659
95.0	0.03201414033015146
96.0	0.03291594710001488
97.0	0.03471956063974172
98.0	0.0338177538698783
99.0	0.03922859448905883
100.0	0.040130401258922255
101.0	0.038326787719195406
102.0	0.040130401258922255
103.0	0.041032208028785676
104.0	0.0419340147986491
105.0	0.04509033849317107
106.0	0.043286724953444225
107.0	0.043286724953444225
108.0	0.04373762833837593
109.0	0.04463943510823936
110.0	0.050050275727419886
111.0	0.050050275727419886
112.0	0.05185388926714673
113.0	0.049148468957556465
114.0	0.050050275727419886
115.0	0.050501179112351594
116.0	0.05636292311646384
117.0	0.05861744004112239
118.0	0.05861744004112239
119.0	0.06087195696578094
120.0	0.05861744004112239
121.0	0.05861744004112239
122.0	0.058166536656190676
123.0	0.06402828066030292
124.0	0.0712427348192103
125.0	0.07935899574798108
126.0	0.09423880745072753
127.0	0.11272584623292768
128.0	0.13211469178499122
129.0	0.16232521857541585
130.0	0.19253574536584045
131.0	0.22635349923571876
132.0	0.28136371219738743
133.0	0.3075161085234267
134.0	0.33186489130973906
135.0	0.35350825378646117
136.0	0.38687510427140775
137.0	0.40987117690292496
138.0	0.4306127326097837
139.0	0.4450416409275984
140.0	0.48427023541665726
141.0	0.5113244385125599
142.0	0.5582183905454579
143.0	0.5992505985742436
144.0	1.6611280700884221
145.0	2.9047196057300804
146.0	4.1888924460155925
147.0	5.572714934371013
148.0	6.998922340910013
149.0	8.403035481587361
150.0	9.501887030665939
