#Coverage (X)	Coverage
1.0	99.87292244925258
2.0	99.87292244925258
3.0	99.2275022572986
4.0	99.15058689763569
5.0	98.5519847506939
6.0	98.38143330100658
7.0	98.32792696384978
8.0	98.06039527806574
9.0	97.81627261478782
10.0	96.9936126810019
11.0	96.42510784871084
12.0	95.86329130856436
13.0	95.68270742066014
14.0	95.3717018359362
15.0	94.7262816439822
16.0	94.17449754205263
17.0	93.46219442865265
18.0	93.21807176537472
19.0	92.42216500016721
20.0	92.18473062903388
21.0	91.94395211182825
22.0	91.47911580777848
23.0	90.8604487844029
24.0	90.48256027823295
25.0	89.88061398521887
26.0	89.21178477075878
27.0	88.69009798347992
28.0	87.93432097114002
29.0	87.45945222887336
30.0	86.68695448617196
31.0	86.11844965388089
32.0	85.33257532689028
33.0	84.6537136742133
34.0	83.51335986355885
35.0	82.76761528943584
36.0	81.5837875798415
37.0	80.52703742099456
38.0	79.18937899207438
39.0	78.05905761963683
40.0	76.79497040430726
41.0	75.70477878473733
42.0	74.68815837875799
43.0	73.61134334347724
44.0	72.30378222920777
45.0	71.31725913787915
46.0	70.47119018158713
47.0	69.4211283148848
48.0	68.28411865030264
49.0	67.04678460355149
50.0	65.33458181453366
51.0	63.96682607096278
