#Read position (bp)	Clipping profile
0.0	8.544482933703467
1.0	7.295813597093022
2.0	6.070542725066053
3.0	5.01184505841662
4.0	3.9503634384739694
5.0	2.9386615547981436
6.0	2.0945271455331467
7.0	1.524214428036796
8.0	1.4294274468629486
9.0	1.3120374163322608
10.0	1.1968347776748158
11.0	1.1098693795628662
12.0	1.0203851665665769
13.0	0.9454835660585718
14.0	0.8748241800926128
15.0	0.804297363331093
16.0	0.7402664375870814
17.0	0.672192151107682
18.0	0.6046481414460384
19.0	0.5373029855910532
20.0	0.47393490586923637
21.0	0.420840939491438
22.0	0.36622242726259174
23.0	0.31326103008923234
24.0	0.25751567962265504
25.0	0.19838981444288456
26.0	0.15066490084486353
27.0	0.10645307116447464
28.0	0.052629974162262054
29.0	0.0015245458510478932
30.0	0.004639922155363153
31.0	0.008086721470775783
32.0	0.011931228399505252
33.0	0.024790441230083136
34.0	0.033208585711956284
35.0	0.03168403986090839
36.0	0.02929779418100734
37.0	0.02883380196547103
38.0	0.025850994865594713
39.0	0.02850237895437366
40.0	0.027972102136617865
41.0	0.024989295036741556
42.0	0.025784710263375237
43.0	0.024459018218985766
44.0	0.0241275952078884
45.0	0.02929779418100734
46.0	0.02962921719210471
47.0	0.027508109921081554
48.0	0.026049848672253132
49.0	0.026314987081131027
50.0	0.026646410092228394
51.0	0.02671269469444787
52.0	0.027309256114423128
53.0	0.02711040230776471
54.0	0.02936407878322681
55.0	0.03002692480542155
56.0	0.032479455087542075
57.0	0.03519712377854049
58.0	0.03791479246953891
59.0	0.03950562292280628
60.0	0.0371856618451247
61.0	0.03460056235856523
62.0	0.03725194644734417
63.0	0.04036732275165943
64.0	0.04056617655831785
65.0	0.0384450692872947
66.0	0.03645653122071049
67.0	0.036390246618491016
68.0	0.03519712377854049
69.0	0.03486570076744312
70.0	0.03572740059629628
71.0	0.03460056235856523
72.0	0.03347372412083418
73.0	0.034269139347467864
74.0	0.037649654060661016
75.0	0.038511353889514176
76.0	0.03599253900517418
77.0	0.03572740059629628
78.0	0.036390246618491016
79.0	0.03804736167397786
80.0	0.038909061502831015
81.0	0.03791479246953891
82.0	0.037318231049563645
83.0	0.039107915309489434
84.0	0.03738451565178312
85.0	0.03864392309395312
86.0	0.039107915309489434
87.0	0.03897534610505049
88.0	0.03904163070726996
89.0	0.0397044767294647
90.0	0.040301038149439965
91.0	0.03884277690061154
92.0	0.03957190752502575
93.0	0.040301038149439965
94.0	0.03990333053612312
95.0	0.041229022580512587
96.0	0.0422232916138047
97.0	0.04288613763599943
98.0	0.04235586081824364
99.0	0.04361526826041365
100.0	0.04454325269148627
101.0	0.0457363755314368
102.0	0.0444769680892668
103.0	0.04361526826041365
104.0	0.04394669127151101
105.0	0.04434439888482785
106.0	0.04653179075807048
107.0	0.0479900520068989
108.0	0.04958088246016627
109.0	0.05097285910677521
110.0	0.050840289902336265
111.0	0.051768274333408894
112.0	0.05435337381996837
113.0	0.05673961949986942
114.0	0.058330449953136784
115.0	0.05945728819086784
116.0	0.06084926483747678
117.0	0.06323551051737783
118.0	0.06601946381059573
119.0	0.06681487903722941
120.0	0.06522404858396204
121.0	0.07099080897705624
122.0	0.11467236183968937
123.0	0.16080644498444302
124.0	0.20309602120046716
125.0	0.2445238975876382
126.0	0.29151968056124494
127.0	0.33884688654594913
128.0	0.3900185994593828
129.0	0.4441068348704733
130.0	0.5007138851659038
131.0	0.5552661127925306
132.0	0.6076972331481342
133.0	0.6623157453769803
134.0	0.7218393181700677
135.0	0.7840142750519341
136.0	0.8472497855693117
137.0	0.9118109881310791
138.0	0.9733893835929701
139.0	1.0400716934257606
140.0	1.110929933198378
141.0	1.1835115726287015
142.0	1.26683131761858
143.0	1.3448482944309004
144.0	1.917215834596055
145.0	2.697054179708162
146.0	3.515669017118661
147.0	4.426419451614229
148.0	5.319538181919416
149.0	6.238773045499077
150.0	6.647152479773253
