#Read position (bp)	Clipping profile
0.0	41.056414459611
1.0	1.0114702345836355
2.0	0.9975096035631132
3.0	0.9767938285004031
4.0	0.9452698229701918
5.0	0.8844735265904987
6.0	0.8407902617843488
7.0	0.7971069969781988
8.0	0.7772919077877803
9.0	0.7570264756612161
10.0	0.7399134440876728
11.0	0.7241514413225671
12.0	0.7097404673658991
13.0	0.6953294934092311
14.0	0.6764150900911043
15.0	0.659752401453707
16.0	0.6453414274970389
17.0	0.630930453540371
18.0	0.6183208513282865
19.0	0.6111153643499525
20.0	0.5962540474571386
21.0	0.5795913588197412
22.0	0.5597762696293227
23.0	0.5489680391618217
24.0	0.5372591228220289
25.0	0.5305039787798408
26.0	0.5178943765677563
27.0	0.5066358031641095
28.0	0.49132414333514973
29.0	0.4737607688254606
30.0	1.2208796998914675
31.0	1.3478764078846042
32.0	0.8016104263396576
33.0	1.2280851868698013
34.0	1.2663643364422006
35.0	0.8007097404673659
36.0	1.146573115427398
37.0	0.9308588490135238
38.0	1.0020130329245722
39.0	0.7651326485118417
40.0	1.1024395076851021
41.0	0.9232030190990439
42.0	0.7146942396635038
43.0	0.8119683138710128
44.0	0.7700864208094463
45.0	0.8524991781241417
46.0	0.5615776413739062
47.0	0.6327318252849545
48.0	0.6746137183465208
49.0	0.46070082367723025
50.0	0.5917506180956799
51.0	0.5336563793328619
52.0	0.44944225027358337
53.0	0.3391082309178439
54.0	0.3188427987912796
55.0	0.4611511666133761
56.0	0.34045925972628155
57.0	0.24903964368866893
58.0	0.43142853282774835
59.0	0.5849954740534917
60.0	0.2648016464537746
61.0	0.2819146780273178
62.0	0.18689231850053817
63.0	0.24138381377418905
64.0	0.4692573394640018
65.0	0.14906351186428465
66.0	0.14906351186428465
67.0	0.2116611799885613
68.0	0.1990515777764768
69.0	0.22337009632835406
70.0	0.08736652961229976
71.0	0.17608408803303716
72.0	0.14501042543897177
73.0	0.1823888891390794
74.0	0.2440858713910643
75.0	0.1751834021607454
76.0	0.10763196173886413
77.0	0.14230836782209652
78.0	0.10898299054730178
79.0	0.07790932795323638
80.0	0.07790932795323638
81.0	0.08196241437854926
82.0	0.08196241437854926
83.0	0.08376378612313277
84.0	0.08781687254844564
85.0	0.08826721548459152
86.0	0.08916790135688327
87.0	0.0905189301653209
88.0	0.08961824429302914
89.0	0.08916790135688327
90.0	0.09096927310146677
91.0	0.09502235952677965
92.0	0.09592304539907139
93.0	0.10042647476053014
94.0	0.10447956118584303
95.0	0.10898299054730178
96.0	0.11258573403646877
97.0	0.11528779165334402
98.0	0.1157381345894899
99.0	0.11844019220636515
100.0	0.1193408780786569
101.0	0.12519533624855328
102.0	0.13014910854615788
103.0	0.13150013735459554
104.0	0.13195048029074138
105.0	0.1360035667160543
106.0	0.14365939663053415
107.0	0.14501042543897177
108.0	0.1481628259919929
109.0	0.15671934177876454
110.0	0.15852071352334804
111.0	0.16212345701251502
112.0	0.16257379994866092
113.0	0.17248134454387015
114.0	0.18013717445835004
115.0	0.18328957501137116
116.0	0.19049506198970514
117.0	0.19454814841501805
118.0	0.19950192071262265
119.0	0.20715775062710254
120.0	0.2112108370524154
121.0	0.21796598109460355
122.0	0.2206680387114788
123.0	0.22472112513679168
124.0	0.2274231827536669
125.0	0.22697283981752106
126.0	0.2292245544982504
127.0	0.2283238686259587
128.0	0.22787352568981278
129.0	0.23192661211512566
130.0	0.23327764092356326
131.0	0.2346286697320009
132.0	0.23552935560429267
133.0	0.2386817561573138
134.0	0.24363552845491845
135.0	0.24858930075252303
136.0	0.2517417013055442
137.0	0.2535430730501277
138.0	0.25579478773085707
139.0	0.2571458165392947
140.0	0.2607485600284617
141.0	0.2630002747091911
142.0	0.2620995888368993
143.0	0.2652519893899204
144.0	0.27606021985742146
145.0	0.28596776445263067
146.0	0.29902770960086106
147.0	0.3021801101538822
148.0	0.2949746231755482
149.0	0.27876227747429666
150.0	0.18148820326678766
