#Coverage (X)	Coverage
1.0	99.82276025816807
2.0	99.44821589807043
3.0	99.14389860549109
4.0	98.82286058255025
5.0	98.81951643647794
6.0	98.63224425642912
7.0	98.41487476172959
8.0	98.21088185131927
9.0	97.662441895462
10.0	96.9802360967127
11.0	96.61572417483195
12.0	95.81981740962445
13.0	94.95368357689864
14.0	94.16446510383574
15.0	93.56251881082166
16.0	91.93726381968364
17.0	90.63639099755878
18.0	88.64662408454001
19.0	87.69688660000669
20.0	86.07163160886867
21.0	84.7473497642377
22.0	83.9213456843795
23.0	82.4432331204227
24.0	80.81797812928468
25.0	79.44353409356921
26.0	77.73133130455139
27.0	76.29334849346219
28.0	74.7249439855533
29.0	73.64812895027255
30.0	71.7653747115674
31.0	69.90937364144065
32.0	67.8961977059158
33.0	66.08701468080126
34.0	64.147409958867
35.0	62.756245192790026
36.0	60.83670534728957
37.0	58.880379894993816
38.0	57.2517807577835
39.0	55.004514597197605
40.0	53.49630471859011
41.0	51.871049727452096
42.0	50.47319666923051
43.0	48.894759723104706
44.0	47.66411396849814
45.0	46.18265725846905
46.0	44.604220312343244
47.0	42.91877069190382
48.0	40.84540012707755
49.0	39.253586596662544
50.0	37.434371133331105
51.0	36.029829782964924
