#Position (bp)	insert size
38.0	216.64
113.0	212.94736842105263
188.0	186.15151515151516
263.0	158.0
338.0	224.69630642954857
413.0	210.80014326647566
488.0	189.72465208747514
563.0	162.38589211618256
638.0	202.7718120805369
713.0	208.6145251396648
788.0	192.54460093896714
863.0	164.85333333333332
938.0	210.5744680851064
1013.0	208.04301075268816
1088.0	192.31372549019608
1163.0	163.1153846153846
1238.0	153.0
1313.0	253.0
1388.0	181.0
1463.0	158.5
1538.0	171.0
1613.0	230.32239965472593
1688.0	202.23254281949934
1763.0	177.11096256684493
1838.0	136.28125
1913.0	48.333333333333336
1988.0	0.0
2063.0	0.0
2138.0	0.0
2213.0	211.75
2288.0	205.05263157894737
2363.0	200.1
2438.0	169.0
2513.0	179.06666666666666
2588.0	212.7826086956522
2663.0	189.5
2738.0	164.66666666666666
2813.0	220.0438596491228
2888.0	213.08783783783784
2963.0	186.84393063583815
3038.0	162.5735294117647
3113.0	0.0
3188.0	200.0
3263.0	204.42857142857142
3338.0	174.125
3413.0	0.0
3488.0	219.83636363636364
3563.0	202.484375
3638.0	177.55882352941177
3713.0	154.16666666666666
3788.0	237.32
3863.0	237.61111111111111
3938.0	198.85714285714286
4013.0	178.8
4088.0	209.99089134677945
4163.0	198.85728744939271
4238.0	169.0495867768595
4313.0	191.56521739130434
4388.0	219.5
4463.0	187.57142857142858
4538.0	153.0
4613.0	250.88571428571427
4688.0	216.94755244755245
4763.0	193.10526315789474
4838.0	169.23655913978496
4913.0	247.0
4988.0	163.5
5063.0	166.0
5138.0	155.0
5213.0	0.0
5288.0	213.98245614035088
5363.0	205.05223880597015
5438.0	177.73387096774192
5513.0	155.0
5588.0	193.94285714285715
5663.0	201.4
5738.0	181.25806451612902
5813.0	155.0
5888.0	226.6153846153846
5963.0	215.58333333333334
6038.0	188.8235294117647
6113.0	158.75
6188.0	248.2
6263.0	204.66666666666666
6338.0	163.625
6413.0	162.5
6488.0	215.41873278236915
6563.0	206.97050147492627
6638.0	190.71241830065358
6713.0	171.97402597402598
6788.0	181.5
6863.0	205.4
6938.0	0.0
7013.0	226.36666666666667
7088.0	220.4191176470588
7163.0	198.7336448598131
7238.0	167.27272727272728
7313.0	248.0
7388.0	238.0
7463.0	164.0
7538.0	164.33333333333334
7613.0	228.85310734463278
7688.0	224.6658653846154
7763.0	205.87278106508876
7838.0	166.92666666666668
7913.0	208.75
7988.0	221.05243445692884
8063.0	205.73214285714286
8138.0	177.1958762886598
8213.0	152.25
8288.0	215.68085106382978
8363.0	209.57983193277312
8438.0	184.07142857142858
8513.0	159.71428571428572
8588.0	183.0
8663.0	0.0
8738.0	0.0
8813.0	0.0
8888.0	207.14420803782505
8963.0	206.1451965065502
9038.0	184.0531496062992
9113.0	165.95
9188.0	93.6
9263.0	233.2
9338.0	175.0
9413.0	167.0
9488.0	215.06
9563.0	213.43478260869566
9638.0	177.16216216216216
9713.0	161.44444444444446
9788.0	219.75
9863.0	204.66666666666666
9938.0	190.6
10013.0	166.0
10088.0	223.11111111111111
10163.0	208.10526315789474
10238.0	184.58333333333334
10313.0	161.75
10388.0	631.75
10463.0	210.16666666666666
10538.0	171.6
10613.0	234.0
10688.0	249.0
10763.0	211.0
10838.0	199.35294117647058
10913.0	169.13333333333333
10988.0	195.875
11063.0	208.72727272727272
11138.0	192.42857142857142
11213.0	163.71428571428572
11288.0	214.57258064516128
11363.0	213.16778523489933
11438.0	190.52380952380952
11513.0	170.4659090909091
11588.0	189.95238095238096
11663.0	161.14285714285714
11738.0	164.875
11813.0	0.0
11888.0	223.1190644932672
11963.0	207.32112676056337
12038.0	182.21410256410257
12113.0	165.70921985815602
12188.0	174.72222222222223
12263.0	177.20833333333334
12338.0	154.75
12413.0	234.68713450292398
12488.0	221.30737704918033
12563.0	196.5948275862069
12638.0	163.97744360902254
12713.0	210.57
12788.0	210.3973063973064
12863.0	185.4418604651163
12938.0	167.98648648648648
13013.0	228.63359319631468
13088.0	211.08815111619919
13163.0	184.6720751494449
13238.0	159.02
13313.0	191.2962962962963
13388.0	211.55072463768116
13463.0	192.27932960893855
13538.0	162.7159090909091
13613.0	205.05194805194805
13688.0	213.6769911504425
13763.0	185.19953596287704
13838.0	157.4952380952381
13913.0	217.1015625
13988.0	208.61490683229815
14063.0	181.96
14138.0	164.91836734693877
14213.0	217.45333333333335
14288.0	222.81632653061226
14363.0	184.72340425531914
14438.0	163.4
14513.0	153.0
14588.0	220.6103896103896
14663.0	206.59375
14738.0	174.56666666666666
14813.0	0.0
14888.0	222.64705882352942
14963.0	198.2
15038.0	167.76
15113.0	157.0
15188.0	232.94329896907217
15263.0	207.0367231638418
15338.0	182.35409836065574
15413.0	160.6
15488.0	225.16626506024096
15563.0	212.64636363636365
15638.0	198.15873015873015
15713.0	166.20543806646526
15788.0	105.75
15863.0	216.2604501607717
15938.0	200.1764705882353
16013.0	172.24324324324326
16088.0	221.14285714285714
16163.0	225.025
16238.0	210.16107382550337
16313.0	172.08235294117648
16388.0	220.0
16463.0	220.125
16538.0	207.89830508474577
16613.0	186.62745098039215
16688.0	162.5909090909091
16763.0	208.75967413441956
16838.0	214.35714285714286
16913.0	187.02689486552566
16988.0	167.6751592356688
17063.0	231.42771982116244
17138.0	219.256233877902
17213.0	195.52855659397716
17288.0	165.3102189781022
17363.0	191.09302325581396
17438.0	212.25806451612902
17513.0	202.22857142857143
17588.0	167.30188679245282
17663.0	212.64583333333334
17738.0	209.3109243697479
17813.0	189.92857142857142
17888.0	166.77551020408163
17963.0	223.825
18038.0	205.025
18113.0	187.28813559322035
18188.0	176.31578947368422
18263.0	235.67258883248732
18338.0	219.68714011516315
18413.0	200.040733197556
18488.0	169.81052631578947
18563.0	0.0
18638.0	225.18372974836262
18713.0	201.41016607951687
18788.0	173.1731182795699
18863.0	130.86666666666667
18938.0	204.60919540229884
19013.0	208.25
19088.0	176.86363636363637
19163.0	154.0
19238.0	219.0460704607046
19313.0	200.63318777292577
19388.0	181.53146853146853
19463.0	158.53658536585365
19538.0	0.0
19613.0	258.0
19688.0	188.0
19763.0	158.0
19838.0	207.8
19913.0	176.0
19988.0	188.0
20063.0	161.5
20138.0	0.0
20213.0	217.66666666666666
20288.0	189.66666666666666
20363.0	164.0
20438.0	0.0
20513.0	227.37735849056602
20588.0	211.87719298245614
20663.0	173.2
20738.0	165.2
20813.0	0.0
20888.0	0.0
20963.0	0.0
