date	clade
2020/05/28	I/A3i
2020/05/28	A2
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	Unassigned
2020/05/28	A2a
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/06/17	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/07/09	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/07/09	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/11	A2a
2020/07/11	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/22	A2a
2020/06/22	A2a
2020/07/11	A3
2020/07/11	A2a
2020/07/11	A2a
2020/07/11	A3
2020/07/11	A3
2020/07/11	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	Unassigned
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	B4
2020/07/11	A3
2020/07/11	A3
2020/07/11	A2a
2020/07/11	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/18	A2a
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	Unassigned
2020/07/14	Unassigned
2020/07/14	Unassigned
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	A2a
2020/07/14	A2a
