#Read position (bp)	Clipping profile
0.0	10.264299131886736
1.0	8.708961742719985
2.0	7.251026198004035
3.0	5.800820958403228
4.0	4.229249928494678
5.0	3.515742766366989
6.0	2.7257055835993844
7.0	2.2062290798617825
8.0	1.6674268133363221
9.0	1.2785924660446348
10.0	0.8712053864766043
11.0	0.5882762192623743
12.0	0.35714009631960175
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	7.730305115142894E-4
30.0	0.0023190915345428684
31.0	0.0061842440921143155
32.0	0.013141518695742921
33.0	0.019325762787857238
34.0	0.034013342506628734
35.0	0.010049396649685764
36.0	0.011595457672714343
37.0	0.017006671253314367
38.0	0.018552732276342947
39.0	0.020098793299371528
40.0	0.01623364074180008
41.0	0.017779701764828657
42.0	0.017779701764828657
43.0	0.018552732276342947
44.0	0.013141518695742921
45.0	0.017006671253314367
46.0	0.023963945856942972
47.0	0.027829098414514423
48.0	0.036332434041171605
49.0	0.04251667813328592
50.0	0.04251667813328592
51.0	0.051793044271457395
52.0	0.05643122734054313
53.0	0.057204257852057426
54.0	0.06184244092114316
55.0	0.05643122734054313
56.0	0.07343789859385749
57.0	0.08194123422051469
58.0	0.18552732276342948
59.0	0.46768345946614515
60.0	0.7815338471409466
61.0	1.057505739751548
62.0	1.4239222022093212
63.0	2.3275948701695257
64.0	2.891907143574957
65.0	3.588407634449332
66.0	4.303460857600049
67.0	5.087313796275539
68.0	6.2159383430864015
69.0	7.042307959895178
70.0	7.618988721484837
71.0	6.677437558460432
